"query","search interest","increase percent"
"ukmla",2,"Breakout"
"notion",2,"Breakout"
"revise msra",1,"Breakout"
"oriel login",1,"Breakout"
"quesmed",9,"950%"
"zero to finals",11,"750%"
"passmedicine mrcp part 1 login",2,"700%"
"plabable",1,"600%"
"passmedicine subscription",5,"550%"
"passmed",10,"500%"
"medentry",1,"450%"
"passmedicine msra login",12,"400%"
"anki",3,"350%"
"passmedicine not working",1,"300%"
"msra passmedicine",41,"250%"
"msra",41,"250%"
"passmedicine msra",41,"250%"
"passmedicine down",3,"200%"
"passmedicine login",100,"200%"
"msra exam",3,"200%"
"geeky medics",7,"170%"
"pastest mrcp part 1",2,"140%"
"passmedicine mrcp part 1",13,"140%"
"passmedicine mrcp 1",15,"140%"
"mrcp part 1",13,"130%"
"mrcp dates",3,"130%"
"ucat",10,"120%"
"passmedicine ucat",10,"110%"
"emedica msra",1,"100%"
"mcq bank",3,"100%"
"amboss",1,"90%"
"mrcp part 2 dates",1,"90%"
"passmedicine mrcp",29,"80%"
"mrcp",29,"70%"
"medify",2,"70%"
"pastest login",1,"70%"
"passmedicine mrcp part 2",5,"60%"
"mrcp part 2",5,"50%"
"bnf",13,"50%"
"pastest mrcp",4,"50%"
"cks nice",9,"30%"
"emedica",3,"30%"
"nice cks",9,"30%"
"oriel",3,"20%"
"cks",15,"20%"
"pastest mrcp part 2",1,"10%"
"passmedicine uk",21,"5%"
"pass medicine",4,"3%"
"passmedicine akt",27,"3%"
"passmedicine app",11,"1%"
