"query","search interest","increase percent"
"passmedicine login",100,"200%"
"msra passmedicine",41,"250%"
"msra",41,"250%"
"passmedicine msra",41,"250%"
"passmedicine mrcp",29,"80%"
"mrcp",29,"70%"
"passmedicine akt",27,"3%"
"passmedicine uk",21,"5%"
"passmedicine mrcp 1",15,"140%"
"cks",15,"20%"
"passmedicine mrcp part 1",13,"140%"
"mrcp part 1",13,"130%"
"bnf",13,"50%"
"passmedicine msra login",12,"400%"
"passmedicine app",11,"1%"
"pastest",11,"-20%"
"zero to finals",11,"750%"
"ucat",10,"120%"
"passmed",10,"500%"
"passmedicine ucat",10,"110%"
"cks nice",9,"30%"
"nice cks",9,"30%"
"quesmed",9,"950%"
"geeky medics",7,"170%"
"passmedicine subscription",5,"550%"
"passmedicine mrcp part 2",5,"60%"
"mrcp part 2",5,"50%"
"pass medicine",4,"3%"
"pastest mrcp",4,"50%"
"rcgp",4,"-60%"
"anki",3,"350%"
"emedica",3,"30%"
"msra exam",3,"200%"
"mrcp dates",3,"130%"
"mcq bank",3,"100%"
"oriel",3,"20%"
"passmedicine down",3,"200%"
"passtest",3,"-40%"
"nice guidelines",3,"-5%"
"passmedicine mrcp part 1 login",2,"700%"
"ukmla",2,"Breakout"
"notion",2,"Breakout"
"passmedicine sign in",2,"-40%"
"medify",2,"70%"
"pastest mrcp part 1",2,"140%"
"drcog",2,"-2%"
"emedica msra",1,"100%"
"onexamination",1,"-80%"
"revise msra",1,"Breakout"
"pastest login",1,"70%"
